model,c,fold,train_start,train_end,validation_start,validation_end,train_down,train_neutral,train_up,validation_down,validation_neutral,validation_up,n,accuracy,balanced_accuracy,macro_f1,log_loss,macro_ovr_auc
market_only,0.1,2,2025-10-02,2025-12-12,2025-12-15,2026-01-08,11,29,11,2,13,2,17,0.47058823529411764,0.4871794871794872,0.3111111111111111,1.0665182375493114,0.5465811965811965
market_only,1.0,2,2025-10-02,2025-12-12,2025-12-15,2026-01-08,11,29,11,2,13,2,17,0.47058823529411764,0.4871794871794872,0.3111111111111111,1.0973059915094086,0.5128205128205128
market_only,10.0,2,2025-10-02,2025-12-12,2025-12-15,2026-01-08,11,29,11,2,13,2,17,0.47058823529411764,0.4871794871794872,0.3111111111111111,1.105028002479111,0.5128205128205128
tfidf_only,0.01,2,2025-10-02,2025-12-12,2025-12-15,2026-01-08,11,29,11,2,13,2,17,0.5294117647058824,0.23076923076923075,0.25,1.0976167460975355,0.46239316239316247
tfidf_only,0.1,2,2025-10-02,2025-12-12,2025-12-15,2026-01-08,11,29,11,2,13,2,17,0.5294117647058824,0.23076923076923075,0.25,1.0887633809604098,0.46239316239316247
tfidf_only,1.0,2,2025-10-02,2025-12-12,2025-12-15,2026-01-08,11,29,11,2,13,2,17,0.5882352941176471,0.25641025641025644,0.26666666666666666,1.0214125701904875,0.4495726495726496
tfidf_only,10.0,2,2025-10-02,2025-12-12,2025-12-15,2026-01-08,11,29,11,2,13,2,17,0.7058823529411765,0.3076923076923077,0.2857142857142857,0.8901847227001644,0.46880341880341875
market_plus_tfidf,0.01,2,2025-10-02,2025-12-12,2025-12-15,2026-01-08,11,29,11,2,13,2,17,0.29411764705882354,0.4102564102564103,0.21388888888888888,1.0735120888185583,0.547008547008547
market_plus_tfidf,0.1,2,2025-10-02,2025-12-12,2025-12-15,2026-01-08,11,29,11,2,13,2,17,0.47058823529411764,0.4871794871794872,0.3111111111111111,1.0576111703935296,0.5623931623931624
market_plus_tfidf,1.0,2,2025-10-02,2025-12-12,2025-12-15,2026-01-08,11,29,11,2,13,2,17,0.4117647058823529,0.32051282051282054,0.24848484848484845,1.0324345814414428,0.523931623931624
market_plus_tfidf,10.0,2,2025-10-02,2025-12-12,2025-12-15,2026-01-08,11,29,11,2,13,2,17,0.4117647058823529,0.1794871794871795,0.2028985507246377,0.9874503831739867,0.4777777777777777
class_prior,,3,2025-10-02,2026-01-08,2026-01-09,2026-02-03,13,42,13,3,12,2,17,0.7058823529411765,0.3333333333333333,0.27586206896551724,0.8267558106638653,0.5
market_only,0.01,3,2025-10-02,2026-01-08,2026-01-09,2026-02-03,13,42,13,3,12,2,17,0.5294117647058824,0.25,0.23076923076923075,1.1068289999319425,0.1119047619047619
market_only,0.1,3,2025-10-02,2026-01-08,2026-01-09,2026-02-03,13,42,13,3,12,2,17,0.5294117647058824,0.25,0.23076923076923075,1.1475274611978867,0.06190476190476191
market_only,1.0,3,2025-10-02,2026-01-08,2026-01-09,2026-02-03,13,42,13,3,12,2,17,0.5294117647058824,0.25,0.23076923076923075,1.1956019894781145,0.06190476190476191
market_only,10.0,3,2025-10-02,2026-01-08,2026-01-09,2026-02-03,13,42,13,3,12,2,17,0.5294117647058824,0.25,0.23076923076923075,1.2074461799411036,0.06984126984126983
tfidf_only,0.01,3,2025-10-02,2026-01-08,2026-01-09,2026-02-03,13,42,13,3,12,2,17,0.35294117647058826,0.16666666666666666,0.19047619047619047,1.0984535795954928,0.3
tfidf_only,0.1,3,2025-10-02,2026-01-08,2026-01-09,2026-02-03,13,42,13,3,12,2,17,0.35294117647058826,0.16666666666666666,0.19047619047619047,1.096777184332027,0.3055555555555556
tfidf_only,1.0,3,2025-10-02,2026-01-08,2026-01-09,2026-02-03,13,42,13,3,12,2,17,0.47058823529411764,0.2222222222222222,0.2318840579710145,1.076702826883067,0.3214285714285714
tfidf_only,10.0,3,2025-10-02,2026-01-08,2026-01-09,2026-02-03,13,42,13,3,12,2,17,0.5882352941176471,0.2777777777777778,0.25641025641025644,1.036152476416467,0.3952380952380952
market_plus_tfidf,0.01,3,2025-10-02,2026-01-08,2026-01-09,2026-02-03,13,42,13,3,12,2,17,0.5294117647058824,0.25,0.23076923076923075,1.1065814473326403,0.10079365079365078
market_plus_tfidf,0.1,3,2025-10-02,2026-01-08,2026-01-09,2026-02-03,13,42,13,3,12,2,17,0.5294117647058824,0.25,0.23076923076923075,1.145781042656484,0.04285714285714285
