trading_date,ticker,open,high,low,close,adjusted_close,volume,dividends,stock_splits
2025-08-29,NVDA,178.11000061035156,178.14999389648438,173.14999389648438,174.17999267578125,173.75389099121094,243257900,0.0,0.0
2025-09-02,NVDA,170.0,172.3800048828125,167.22000122070312,170.77999877929688,170.3622283935547,231164900,0.0,0.0
2025-09-03,NVDA,171.05999755859375,172.41000366210938,168.8800048828125,170.6199951171875,170.2025909423828,164424900,0.0,0.0
2025-09-04,NVDA,170.57000732421875,171.86000061035156,169.41000366210938,171.66000366210938,171.2400665283203,141670100,0.0,0.0
2025-09-05,NVDA,168.02999877929688,169.02999877929688,164.07000732421875,167.02000427246094,166.6114044189453,224441400,0.0,0.0
2025-09-08,NVDA,167.5500030517578,170.9600067138672,167.35000610351562,168.30999755859375,167.89825439453125,163769100,0.0,0.0
2025-09-09,NVDA,169.08999633789062,170.97999572753906,166.74000549316406,170.75999450683594,170.34226989746094,157548400,0.0,0.0
2025-09-10,NVDA,176.63999938964844,179.2899932861328,175.47000122070312,177.3300018310547,176.89620971679688,226852000,0.0,0.0
2025-09-11,NVDA,179.67999267578125,180.27999877929688,176.47999572753906,177.1699981689453,176.7465362548828,151159300,0.01,0.0
2025-09-12,NVDA,177.77000427246094,178.60000610351562,176.4499969482422,177.82000732421875,177.39501953125,124911000,0.0,0.0
2025-09-15,NVDA,175.6699981689453,178.85000610351562,174.50999450683594,177.75,177.32516479492188,147061600,0.0,0.0
2025-09-16,NVDA,177.0,177.5,174.3800048828125,174.8800048828125,174.4620361328125,140737800,0.0,0.0
2025-09-17,NVDA,172.63999938964844,173.1999969482422,168.41000366210938,170.2899932861328,169.88296508789062,211843800,0.0,0.0
2025-09-18,NVDA,173.97999572753906,177.10000610351562,172.9600067138672,176.24000549316406,175.8187713623047,191763300,0.0,0.0
2025-09-19,NVDA,175.77000427246094,178.0800018310547,175.17999267578125,176.6699981689453,176.24774169921875,237182100,0.0,0.0
2025-09-22,NVDA,175.3000030517578,184.5500030517578,174.7100067138672,183.61000061035156,183.17115783691406,269637000,0.0,0.0
2025-09-23,NVDA,181.97000122070312,182.4199981689453,176.2100067138672,178.42999267578125,178.0035400390625,192559600,0.0,0.0
2025-09-24,NVDA,179.77000427246094,179.77999877929688,175.39999389648438,176.97000122070312,176.54702758789062,143564100,0.0,0.0
2025-09-25,NVDA,174.47999572753906,180.25999450683594,173.1300048828125,177.69000244140625,177.26528930664062,191586700,0.0,0.0
2025-09-26,NVDA,178.1699981689453,179.77000427246094,174.92999267578125,178.19000244140625,177.7641143798828,148573700,0.0,0.0
2025-09-29,NVDA,180.42999267578125,184.0,180.32000732421875,181.85000610351562,181.4153594970703,193063500,0.0,0.0
2025-09-30,NVDA,182.0800018310547,187.35000610351562,181.47999572753906,186.5800018310547,186.13406372070312,236981000,0.0,0.0
