term,type,up_support_days,down_support_days,total_support_days,up_total_days,down_total_days,up_prevalence_pct,down_prevalence_pct,up_minus_down_pp
invests in,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
ipos,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
is buying,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
is developing,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
is doubling,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
it expected,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
its focus,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
its momentum,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
ixic gspc,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
joining the,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
jump on,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
jumps as,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
ken,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
kicked,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
korea's sk,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
largest company,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
laser,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
latest investor,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
launched its,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
lawmakers,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
leg,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
legislation,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
libraries,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
links,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
look to,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
losses and,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
low cost,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
lumentum holdings,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
lunch,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
maker openai,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
manufacturer of,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
manufacturing capacity,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
market trading,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
meets,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
message for,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
meta deal,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
modular,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
monday with,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
move higher,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
moved the,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
movement,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
msft nvidia,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
mtia,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
names in,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
next wave,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
nordisk,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
not buying,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
not yet,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
novo nordisk,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
nuclear energy,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
nvda announced,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
nvda jumped,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
nvidia gb300,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
nvidia gets,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
nvidia over,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
nvidia recently,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
nvidia reports,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
nvidia's fourth,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
nvidia's upcoming,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
nvidia's us,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
of amazon's,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
of physical,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
omniverse,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
on big,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
on nov,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
on trump,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
openai anthropic,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
opens,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
optical networking,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
os,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
outlines,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
over fist,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
package,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
palantir are,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
past five,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
photonic,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
plan for,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
platform today,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
playbook,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
point of,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
points or,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
potential deal,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
power for,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
power its,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
predicting,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
prioritize,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
products and,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
profit taking,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
progress in,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
proven,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
published jim,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
push and,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
qbts,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
quarter profit,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
raises nvidia,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
ramped,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
ranks of,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
reaching,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
reduction,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
relations,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
rely on,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
richer,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
risk for,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
rivalry,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
said tuesday,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
say the,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
says company,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
says no,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
says nvidia's,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
says that,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
scene,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
scores,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
select,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
sell or,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
semiconductor and,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
semiconductor etf,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
semiconductor rally,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
sentiment in,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
set the,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
set up,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
shares at,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
shortened,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
showcases,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
signaled,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
simplify,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
single stock,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
sites,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
sized,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
smith,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
soaring demand,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
solutions and,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
solutions that,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
some investors,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
son,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
sought,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
spacex,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
spectacular,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
steve,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
stock before,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
stock gets,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
stock jumped,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
strategy and,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
strategy to,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
strength of,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
systems for,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
take the,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
technology in,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
texas instruments,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
th,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
than double,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
than nvidia's,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
that artificial,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
that chinese,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the booming,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the buildout,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the cnbc,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the competition,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the demand,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the economy,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the idea,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the meta,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the ranks,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the risk,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the startup's,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the strong,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the terms,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
the war,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
think it's,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
third party,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
third point,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
this article,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
thursday citing,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
to advanced,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
to people,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
to surge,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
to tap,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
tougher,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
traded as,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
trainium chips,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
transcript,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
trending on,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
turning to,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
type of,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
uber and,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
use ai,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
validated,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
valuation to,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
visit yahoo,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
voice,word,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
wednesday with,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
week high,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
when nvidia,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
with anthropic,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
with chinese,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
with custom,phrase,3,3,6,51,41,5.882352941176471,7.317073170731708,-1.4347202295552364
infrastructure,word,49,40,89,51,41,96.07843137254902,97.5609756097561,-1.482544237207073
one,word,49,40,89,51,41,96.07843137254902,97.5609756097561,-1.482544237207073
deal,word,44,36,80,51,41,86.27450980392157,87.8048780487805,-1.530368244858915
click,word,39,32,71,51,41,76.47058823529412,78.04878048780488,-1.5781922525107683
two,word,39,32,71,51,41,76.47058823529412,78.04878048780488,-1.5781922525107683
customers,word,34,28,62,51,41,66.66666666666667,68.29268292682927,-1.6260162601626105
recently,word,34,28,62,51,41,66.66666666666667,68.29268292682927,-1.6260162601626105
focused,word,29,24,53,51,41,56.86274509803921,58.53658536585366,-1.6738402678144415
forecast,word,29,24,53,51,41,56.86274509803921,58.53658536585366,-1.6738402678144415
manufacturing,word,29,24,53,51,41,56.86274509803921,58.53658536585366,-1.6738402678144415
nvidia ceo,phrase,29,24,53,51,41,56.86274509803921,58.53658536585366,-1.6738402678144415
use,word,29,24,53,51,41,56.86274509803921,58.53658536585366,-1.6738402678144415
collaboration with,phrase,24,20,44,51,41,47.05882352941177,48.78048780487805,-1.7216642754662836
holdings,word,24,20,44,51,41,47.05882352941177,48.78048780487805,-1.7216642754662836
msft,word,24,20,44,51,41,47.05882352941177,48.78048780487805,-1.7216642754662836
told,word,24,20,44,51,41,47.05882352941177,48.78048780487805,-1.7216642754662836
agentic,word,19,16,35,51,41,37.254901960784316,39.02439024390244,-1.7694882831181258
did not,phrase,19,16,35,51,41,37.254901960784316,39.02439024390244,-1.7694882831181258
include,word,19,16,35,51,41,37.254901960784316,39.02439024390244,-1.7694882831181258
seen,word,19,16,35,51,41,37.254901960784316,39.02439024390244,-1.7694882831181258
agreed to,phrase,14,12,26,51,41,27.45098039215686,29.26829268292683,-1.8173122907699624
ai related,phrase,14,12,26,51,41,27.45098039215686,29.26829268292683,-1.8173122907699624
bigger,word,14,12,26,51,41,27.45098039215686,29.26829268292683,-1.8173122907699624
chips for,phrase,14,12,26,51,41,27.45098039215686,29.26829268292683,-1.8173122907699624
processing units,phrase,14,12,26,51,41,27.45098039215686,29.26829268292683,-1.8173122907699624
semiconductor equipment,phrase,14,12,26,51,41,27.45098039215686,29.26829268292683,-1.8173122907699624
agreements,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
allow,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
altman,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
and infrastructure,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
apple microsoft,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
became,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
broadcom inc,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
chips from,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
declined,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
deployments,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
fear,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
foundation,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
half of,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
hedge fund,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
human,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
is back,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
josh lipton,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
last month,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
likes of,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
linked to,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
lipton,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
market stories,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
meet the,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
offers,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
on track,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
ride,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
sent,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
still has,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
tests,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
to launch,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
trading at,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
trend,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
tuesday as,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
unprecedented,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
watch the,phrase,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
workflows,word,9,8,17,51,41,17.647058823529413,19.51219512195122,-1.8651362984218074
accused,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
across multiple,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
aerospace,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
ai applications,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
ai development,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
ai processor,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
alpha,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
alternative,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
amd shares,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
an interview,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
and expanded,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
and risks,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
announced on,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
anthropic and,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
apple aapl,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
applied materials,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
argues,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
arrangements,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
asking,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
august,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
benefits,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
best stocks,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
billionaire peter,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
box,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
breakthroughs,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
business to,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
chart,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
china trade,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
chip industry,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
co develop,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
cohr,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
companies said,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
companies to,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
competition intensifies,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
competition with,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
computing company,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
consumer electronics,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
consumers,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
cramer highlighted,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
data centres,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
deal for,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
deal that,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
dec,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
decision to,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
deepens ai,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
develop and,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
dismissed,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
driven growth,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
earnings but,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
elsewhere,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
error,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
explain,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
failed,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
fall on,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
famous,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
featured,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
finds,word,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
focus after,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
focus to,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
focusing on,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
for future,phrase,4,4,8,51,41,7.8431372549019605,9.75609756097561,-1.9129603060736495
