term,type,up_support_days,down_support_days,total_support_days,up_total_days,down_total_days,up_prevalence_pct,down_prevalence_pct,up_minus_down_pp
mid,word,10,3,13,51,41,19.607843137254903,7.317073170731708,12.290769966523195
powerhouse,word,10,3,13,51,41,19.607843137254903,7.317073170731708,12.290769966523195
setting,word,10,3,13,51,41,19.607843137254903,7.317073170731708,12.290769966523195
stock at,phrase,10,3,13,51,41,19.607843137254903,7.317073170731708,12.290769966523195
with nvidia,phrase,46,32,78,51,41,90.19607843137256,78.04878048780488,12.14729794356767
agreement,word,31,20,51,51,41,60.78431372549019,48.78048780487805,12.003825920612144
already,word,31,20,51,51,41,60.78431372549019,48.78048780487805,12.003825920612144
edge,word,31,20,51,51,41,60.78431372549019,48.78048780487805,12.003825920612144
take,word,31,20,51,51,41,60.78431372549019,48.78048780487805,12.003825920612144
jumped,word,26,16,42,51,41,50.98039215686274,39.02439024390244,11.956001912960302
returns,word,26,16,42,51,41,50.98039215686274,39.02439024390244,11.956001912960302
total,word,26,16,42,51,41,50.98039215686274,39.02439024390244,11.956001912960302
accelerated,word,21,12,33,51,41,41.1764705882353,29.26829268292683,11.908177905308465
raising,word,21,12,33,51,41,41.1764705882353,29.26829268292683,11.908177905308465
catalysts,word,16,8,24,51,41,31.372549019607842,19.51219512195122,11.860353897656623
trillion dollar,phrase,16,8,24,51,41,31.372549019607842,19.51219512195122,11.860353897656623
accelerated computing,phrase,11,4,15,51,41,21.568627450980394,9.75609756097561,11.812529890004782
alphabet nasdaq,phrase,11,4,15,51,41,21.568627450980394,9.75609756097561,11.812529890004782
cloud growth,phrase,11,4,15,51,41,21.568627450980394,9.75609756097561,11.812529890004782
dominance in,phrase,11,4,15,51,41,21.568627450980394,9.75609756097561,11.812529890004782
earth,word,11,4,15,51,41,21.568627450980394,9.75609756097561,11.812529890004782
hundreds,word,11,4,15,51,41,21.568627450980394,9.75609756097561,11.812529890004782
hundreds of,phrase,11,4,15,51,41,21.568627450980394,9.75609756097561,11.812529890004782
left,word,11,4,15,51,41,21.568627450980394,9.75609756097561,11.812529890004782
nvidia the,phrase,11,4,15,51,41,21.568627450980394,9.75609756097561,11.812529890004782
pipeline,word,11,4,15,51,41,21.568627450980394,9.75609756097561,11.812529890004782
starting to,phrase,11,4,15,51,41,21.568627450980394,9.75609756097561,11.812529890004782
stock just,phrase,11,4,15,51,41,21.568627450980394,9.75609756097561,11.812529890004782
ai strategy,phrase,6,0,6,51,41,11.764705882352942,0.0,11.76470588235294
